Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=682c7f502e7266e963f768c6bcf933a1&SERIES_KEY=42.FM.B.ES.USD.DS.SC.ESGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.ES.USD.DS.SC.ESGVTS5.HST
,"SPAIN SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality
2025-03-31,33.2780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-28,32.7580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-27,32.6620000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-26,32.7010000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-25,32.8440000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-24,33.3000000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-21,33.3420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-20,32.7730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-19,29.9840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-18,29.9450000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-17,30.0920000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-14,30.3880000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-13,30.3120000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-12,29.2020000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-11,29.5420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-10,29.5420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-07,29.1150000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-06,28.8480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-05,28.8330000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-04,29.2370000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-03,29.1580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-28,30.2540000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-27,29.8580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-26,29.7170000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-25,30.0210000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-24,29.9730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-21,30.1910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-20,30.1750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-19,30.4000000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-18,30.4550000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-17,30.9240000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-14,31.7760000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-13,31.8640000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-12,32.4030000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-11,32.6620000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-10,32.5970000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-07,32.7990000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-06,33.0020000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-05,33.4770000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-04,33.4410000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-03,33.8530000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-31,32.7190000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-30,32.6770000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-29,32.9050000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-28,33.1880000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-27,33.5200000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-24,33.2480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-23,33.7240000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-22,33.1200000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-21,34.1600000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-20,34.1340000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-17,34.3380000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-16,34.6130000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-15,34.7280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-14,35.6360000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-13,36.3020000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-10,35.8980000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-09,36.1900000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-08,34.9420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-07,34.9420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-06,34.7930000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-03,35.0460000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-02,35.0850000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-01,35.4560000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-31,35.2270000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-30,34.6380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-27,34.8920000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-26,35.0130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-25,35.0860000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-24,35.1020000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-23,35.2570000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-20,35.0740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-19,35.2990000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-18,33.8440000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-17,34.0800000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-16,33.5590000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-13,33.4390000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-12,33.4550000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-11,33.2130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-10,33.2860000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-09,33.3470000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-06,33.0130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-05,33.2730000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-04,33.3380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-03,33.4150000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-02,32.5770000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-29,31.9130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-28,32.3310000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-27,32.6080000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-26,31.5990000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-25,31.6790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-22,30.1220000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-21,30.0970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-20,30.0970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-19,29.8270000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-18,29.9440000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-15,29.9920000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-14,29.7960000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-13,29.6730000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-12,30.0540000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-11,29.7280000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-08,30.0690000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-07,30.4670000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-06,30.0400000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-05,29.6100000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-04,29.6950000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-01,29.8410000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-31,29.8680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-30,29.9510000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-29,29.8750000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-28,29.8000000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-25,30.3230000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-24,30.7940000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-23,30.5390000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-22,30.5180000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-21,30.5440000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-18,30.6980000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-17,31.0170000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-16,32.1130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-15,31.9540000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-14,32.0990000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-11,32.4140000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-10,32.9830000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-09,33.9760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-08,34.3440000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-07,34.0890000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-04,34.2050000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-03,35.1370000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-02,35.2400000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-01,35.2530000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-30,35.2630000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-27,35.3380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-26,35.3710000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-25,36.2130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-24,36.5790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-23,36.5430000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-20,36.9490000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-19,33.9250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-18,33.9220000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-17,33.7540000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-16,34.0120000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-13,34.1090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-12,34.2360000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-11,34.7720000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-10,34.5740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-09,34.5940000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-06,34.5770000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-05,34.5540000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-04,34.6090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-03,34.6160000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-02,34.5980000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-30,34.4130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-29,34.4640000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-28,34.5680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-27,34.4760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-26,34.2950000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-23,34.7480000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-22,34.5590000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-21,34.4530000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-20,34.5880000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-19,34.2740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-16,35.1740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-15,35.6660000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-14,35.7600000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-13,36.2550000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-12,36.5980000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-09,37.1680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-08,38.1540000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-07,38.1520000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-06,39.3330000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-05,39.3610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-02,38.3170000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-01,36.1050000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-31,35.8370000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-30,35.7970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-29,35.7910000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-26,36.2040000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-25,36.2250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-24,35.3080000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-23,35.0160000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-22,34.8160000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-19,34.9090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-18,34.8090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-17,34.6650000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-16,34.5970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-15,34.5480000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-12,34.3940000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-11,34.5390000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-10,34.9110000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-09,34.8130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-08,34.8870000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-05,35.5530000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-04,36.6730000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-03,36.3050000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-02,37.0770000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-01,37.3610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-28,40.0850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-27,39.0290000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-26,38.8400000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-25,38.4860000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-24,39.0090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-21,39.1600000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-20,38.7740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-19,38.8550000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-18,38.7800000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-17,41.7330000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-14,41.7360000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-13,38.3210000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-12,35.9600000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-11,37.3810000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-10,36.1530000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-07,34.7590000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-06,35.0690000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-05,34.6740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-04,34.6820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-03,34.5360000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-31,34.8710000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-30,34.9920000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-29,34.8990000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-28,34.8850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-27,34.8250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-24,34.9090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-23,34.8150000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-22,34.9760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-21,34.7760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-20,34.4550000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-17,35.3010000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-16,35.8910000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-15,35.9700000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-14,36.0230000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-13,36.0910000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-10,35.8670000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-09,35.0860000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-08,35.5850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-07,34.7590000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-06,35.8000000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-03,36.1750000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-02,36.1500000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-01,36.9340000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-30,37.0460000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-29,36.1130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-26,37.5780000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-25,37.8250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-24,37.2550000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-23,38.0090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-22,37.8440000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-19,37.9270000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-18,38.1230000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-17,38.1930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-16,38.5030000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-15,37.8290000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-12,37.9520000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-11,37.6280000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-10,37.7110000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-09,37.5900000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-08,38.0810000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-05,37.8930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-04,38.4360000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-03,39.1370000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-02,38.8990000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-01,39.3190000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-29,39.4000000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-28,39.2480000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-27,39.1980000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-26,39.2080000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-25,39.2210000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-22,39.2390000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-21,39.8530000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-20,39.7970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-19,35.4790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-18,35.6750000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-15,36.7030000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-14,36.5780000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-13,36.8230000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-12,36.7900000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-11,37.0960000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-08,37.0610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-07,37.1840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-06,39.8030000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-05,39.6010000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-04,40.2840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-01,39.6960000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-29,40.1180000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-28,40.3760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-27,40.4510000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-26,40.4380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-23,40.2060000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-22,41.2170000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-21,41.0870000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-20,41.1690000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-19,41.6970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-16,41.7610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-15,42.0450000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-14,42.4970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-13,42.9640000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-12,41.9310000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-09,43.0940000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-08,42.1670000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-07,42.3750000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-06,43.1650000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-05,41.8810000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-02,42.8550000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-01,42.9620000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-31,43.8110000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-30,42.0760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-29,42.1660000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-26,42.5580000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-25,42.6680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-24,42.7250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-23,43.8660000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-22,43.3150000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-19,43.0260000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-18,43.9390000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-17,44.1900000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-16,43.7430000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-15,43.0680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-12,43.9380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-11,44.1850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-10,44.2640000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-09,45.5570000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-08,45.4790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-05,45.5820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-04,46.0380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-03,45.7900000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-02,44.6630000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-01,44.5980000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-29,44.8020000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-28,44.9120000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-27,45.4050000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-26,45.3610000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-25,45.0070000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-22,45.1870000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-21,45.2640000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-20,45.9350000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-19,45.5940000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-18,44.8130000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-15,46.3940000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-14,44.6980000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-13,46.1150000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-12,45.8140000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-11,46.1790000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-08,45.7150000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-07,47.0410000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-06,45.9610000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-05,46.4960000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-04,46.5210000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-01,46.9620000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-30,47.6740000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-29,46.2160000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-28,46.9940000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-27,48.0330000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-24,48.2730000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-23,47.4750000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-22,48.0910000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-21,46.9840000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-20,48.6300000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-17,49.3460000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-16,50.2080000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-15,50.9140000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-14,51.2700000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-13,52.0400000,Normal value (A),Not for publication, restricted for internal use only (N)
