Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=e396ea9b7f6446795d77fcb5910e432c&SERIES_KEY=42.FM.B.IT.USD.DS.SC.ITGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.IT.USD.DS.SC.ITGVTS5.HST
,"ITALY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2025-04-01,55.6370000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-31,56.9590000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-28,55.8980000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-27,55.6250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-26,55.2420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-25,55.2740000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-24,55.3380000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-21,55.5700000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-20,56.0620000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-19,50.7180000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-18,50.5420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-17,50.8200000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-14,51.4460000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-13,51.9220000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-12,50.4580000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-11,50.6570000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-10,51.5870000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-07,51.2380000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-06,51.2320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-05,49.9490000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-04,51.8300000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-03,51.3340000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-28,51.8290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-27,52.0690000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-26,51.7670000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-25,52.8140000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-24,52.9010000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-21,52.7210000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-20,52.8420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-19,52.1280000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-18,51.8000000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-17,52.6850000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-14,53.0490000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-13,53.2810000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-12,54.4910000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-11,54.6250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-10,54.6720000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-07,55.1380000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-06,55.3370000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-05,55.7270000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-04,56.5740000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-03,58.0710000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-31,56.6980000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-30,56.2770000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-29,56.8000000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-28,57.2040000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-27,57.6190000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-24,57.1020000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-23,57.6350000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-22,56.8090000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-21,58.3980000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-20,58.1140000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-17,58.0510000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-16,58.7080000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-15,59.3980000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-14,61.0550000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-13,62.1880000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-10,60.6830000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-09,60.2370000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-08,59.6990000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-07,59.3590000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-06,59.7030000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-03,60.4190000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-02,60.4130000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-01,61.5150000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-31,61.0390000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-30,60.4520000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-27,60.4800000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-26,60.5900000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-25,60.5550000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-24,60.7760000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-23,61.0040000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-20,61.2260000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-19,60.9740000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-18,59.2190000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-17,58.4980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-16,58.0060000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-13,57.3500000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-12,56.9950000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-11,56.2500000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-10,56.2570000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-09,55.7250000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-06,56.4460000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-05,57.6660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-04,58.7370000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-03,58.6000000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-02,59.2710000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-29,58.4450000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-28,59.0760000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-27,60.4960000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-26,59.5650000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-25,59.7900000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-22,59.7820000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-21,59.3640000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-20,58.2320000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-19,58.3280000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-18,56.9070000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-15,57.0290000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-14,56.9150000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-13,57.1110000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-12,57.6800000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-11,57.5230000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-08,58.7300000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-07,59.5920000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-06,60.3130000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-05,57.8110000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-04,58.1380000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-01,58.5530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-31,58.6090000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-30,57.3940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-29,56.7280000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-28,56.2170000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-25,56.9540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-24,56.9930000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-23,57.3740000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-22,57.8640000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-21,57.8320000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-18,56.6920000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-17,57.0990000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-16,58.1120000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-15,58.1130000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-14,58.6020000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-11,60.1660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-10,60.1760000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-09,61.6850000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-08,61.8270000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-07,61.5130000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-04,62.3800000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-03,63.5250000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-02,63.4750000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-01,63.2200000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-30,63.3710000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-27,62.6100000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-26,63.1920000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-25,64.6540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-24,64.0190000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-23,64.2720000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-20,63.9780000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-19,57.1940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-18,59.2400000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-17,58.0600000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-16,59.1260000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-13,58.7340000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-12,60.2410000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-11,62.2320000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-10,61.3760000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-09,61.0840000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-06,60.5670000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-05,60.9270000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-04,61.0400000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-03,61.5460000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-02,60.7830000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-30,62.8060000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-29,63.1910000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-28,63.8610000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-27,63.9180000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-26,60.5530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-23,61.3120000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-22,62.7380000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-21,64.2630000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-20,64.1670000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-19,63.7480000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-16,65.2080000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-15,64.4970000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-14,66.1170000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-13,68.9760000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-12,68.3130000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-09,69.5100000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-08,70.4340000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-07,72.7350000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-06,74.5630000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-05,75.4420000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-02,70.5590000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-01,68.2050000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-31,65.1390000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-30,65.5580000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-29,65.5980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-26,65.8050000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-25,65.7560000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-24,64.1440000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-23,62.7880000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-22,61.3580000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-19,62.4610000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-18,61.8880000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-17,62.3950000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-16,61.5060000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-15,61.3940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-12,61.8420000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-11,62.9630000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-10,65.4440000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-09,67.4010000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-08,66.8620000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-05,69.5150000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-04,71.1580000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-03,71.4640000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-02,73.8490000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-01,75.1320000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-28,80.2120000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-27,79.1280000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-26,76.7420000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-25,75.6880000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-24,75.1160000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-21,77.1690000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-20,76.5050000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-19,75.2770000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-18,73.6760000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-17,79.3460000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-14,79.6540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-13,70.8660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-12,66.9230000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-11,70.0440000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-10,65.7420000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-07,62.2020000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-06,61.6180000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-05,62.0100000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-04,61.9110000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-03,61.6650000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-31,63.0110000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-30,62.6970000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-29,62.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-28,62.5040000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-27,62.2270000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-24,62.4340000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-23,62.0670000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-22,61.4530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-21,61.3860000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-20,61.3610000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-17,62.0730000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-16,61.4940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-15,62.0080000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-14,62.4020000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-13,62.2920000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-10,61.8770000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-09,62.3740000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-08,60.9420000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-07,61.8770000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-06,62.1900000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-03,62.1010000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-02,63.3100000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-01,63.5870000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-30,63.4940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-29,63.4450000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-26,63.6130000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-25,64.7560000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-24,64.6620000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-23,64.2560000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-22,65.6140000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-19,67.2240000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-18,67.2100000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-17,68.3740000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-16,69.2590000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-15,66.7180000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-12,65.5010000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-11,65.4300000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-10,63.8850000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-09,64.6220000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-08,65.2520000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-05,67.1350000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-04,65.5220000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-03,68.4530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-02,66.0850000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-01,67.7110000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-29,67.5930000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-28,67.3270000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-27,66.5530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-26,66.7230000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-25,67.5480000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-22,66.9960000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-21,66.1470000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-20,66.6180000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-19,59.4390000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-18,59.8830000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-15,61.3450000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-14,60.2940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-13,62.5020000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-12,63.2890000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-11,64.8990000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-08,64.8500000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-07,66.2840000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-06,67.5490000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-05,67.1570000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-04,69.0040000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-01,70.2200000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-29,69.4710000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-28,70.4370000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-27,69.3940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-26,70.5410000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-23,69.8710000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-22,70.9540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-21,71.8690000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-20,72.0590000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-19,72.9140000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-16,73.1930000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-15,73.7680000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-14,73.8030000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-13,74.1320000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-12,73.9700000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-09,75.4540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-08,74.4970000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-07,74.6160000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-06,74.4090000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-05,75.8980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-02,75.8010000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-01,76.6210000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-31,75.7230000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-30,73.5030000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-29,73.3800000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-26,72.4770000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-25,73.6010000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-24,73.6770000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-23,74.4000000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-22,73.4600000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-19,73.0210000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-18,74.3600000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-17,75.4000000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-16,73.1890000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-15,73.6580000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-12,74.2450000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-11,76.4390000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-10,76.9020000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-09,78.5310000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-08,80.1240000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-05,80.4490000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-04,80.9630000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-03,80.0410000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-02,77.4830000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-01,76.1880000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-29,76.9100000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-28,76.8160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-27,77.7080000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-26,77.6170000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-25,77.6170000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-22,77.6170000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-21,77.6170000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-20,77.4360000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-19,78.1570000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-18,80.3930000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-15,81.2630000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-14,80.6180000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-13,84.5560000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-12,85.6560000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-11,86.2400000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-08,86.6210000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-07,85.1360000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-06,85.6440000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-05,87.5230000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-04,87.6420000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-01,87.1980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-30,88.7370000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-29,88.5830000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-28,89.4930000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-27,89.3360000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-24,90.6030000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-23,90.4810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-22,90.5890000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-21,90.5350000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-20,90.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-17,94.3610000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-16,95.5970000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-15,99.0270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-14,100.0540000,Normal value (A),Not for publication, restricted for internal use only (N),
