Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=1a35b53ab43b4fe981667ed95c8df53a&SERIES_KEY=42.FM.B.DE.USD.DS.SC.BDGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.DE.USD.DS.SC.BDGVTS5.HST
,"GERMANY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality
2025-03-31,13.5930000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-28,13.5700000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-27,13.5700000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-26,13.5330000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-25,13.5770000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-24,13.5510000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-21,13.5590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-20,13.4080000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-19,13.0440000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-18,13.0510000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-17,13.0490000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-14,13.1640000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-13,13.2720000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-12,12.9620000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-11,12.8840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-10,13.3500000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-07,13.2160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-06,11.9200000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-05,12.1740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-04,12.0160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-03-03,11.8790000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-28,11.7350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-27,12.3400000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-26,11.6990000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-25,11.8730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-24,11.5430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-21,12.7450000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-20,12.1870000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-19,12.3440000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-18,12.2650000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-17,12.2200000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-14,12.4310000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-13,12.8590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-12,12.9270000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-11,13.1520000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-10,13.0950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-07,13.0250000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-06,13.3000000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-05,13.5920000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-04,13.5350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-02-03,13.7240000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-31,13.6000000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-30,13.3740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-29,13.5490000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-28,13.3690000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-27,13.5320000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-24,13.3350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-23,13.6410000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-22,13.3350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-21,13.6070000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-20,13.5660000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-17,13.7900000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-16,13.8170000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-15,13.9410000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-14,14.1940000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-13,14.4200000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-10,14.0750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-09,14.0210000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-08,13.9910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-07,13.9680000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-06,13.8580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-03,13.9160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-02,14.0160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-01-01,13.3930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-31,13.3670000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-30,13.8610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-27,13.1980000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-26,13.3250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-25,13.3210000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-24,13.2910000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-23,13.4200000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-20,13.6470000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-19,13.8910000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-18,13.3450000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-17,13.1820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-16,12.5890000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-13,12.5060000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-12,12.3790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-11,12.2050000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-10,12.1490000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-09,12.5190000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-06,12.3940000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-05,12.5350000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-04,12.5230000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-03,12.7870000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-12-02,12.5200000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-29,12.4040000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-28,12.6210000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-27,12.7330000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-26,12.0720000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-25,11.7540000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-22,11.7420000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-21,11.2220000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-20,10.4570000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-19,10.3940000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-18,10.3620000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-15,10.3580000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-14,10.2820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-13,10.2290000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-12,10.0850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-11,9.7370000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-08,9.9020000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-07,10.1590000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-06,9.6090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-05,9.6770000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-04,9.7390000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-11-01,9.7450000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-31,9.9250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-30,9.7920000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-29,9.5710000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-28,9.5930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-25,9.6070000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-24,9.6430000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-23,9.4800000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-22,9.4890000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-21,9.5080000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-18,9.6120000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-17,9.6490000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-16,9.6500000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-15,9.6520000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-14,9.6380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-11,9.6060000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-10,9.7310000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-09,9.9410000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-08,10.0110000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-07,9.9480000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-04,9.9580000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-03,9.9960000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-02,9.9790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-10-01,10.3590000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-30,10.3740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-27,10.4070000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-26,10.3240000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-25,10.4230000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-24,10.6970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-23,10.6840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-20,10.5930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-19,8.7470000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-18,8.7100000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-17,8.7400000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-16,8.9700000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-13,8.7390000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-12,9.0140000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-11,9.5520000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-10,9.0720000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-09,8.8010000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-06,9.0090000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-05,9.1280000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-04,9.2100000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-03,9.1620000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-09-02,9.1140000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-30,9.1260000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-29,9.1520000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-28,8.9840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-27,8.9900000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-26,8.6080000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-23,8.4610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-22,8.4940000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-21,8.4870000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-20,8.4910000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-19,8.4850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-16,8.5430000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-15,8.8560000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-14,8.9580000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-13,8.9290000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-12,8.9750000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-09,8.9600000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-08,9.2560000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-07,8.8320000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-06,9.4160000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-05,8.6310000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-02,9.2060000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-08-01,8.8020000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-31,8.7240000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-30,8.7470000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-29,8.6720000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-26,8.9790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-25,8.9490000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-24,8.9290000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-23,8.8280000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-22,8.7990000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-19,8.7920000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-18,8.6420000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-17,8.8870000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-16,8.7770000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-15,8.7410000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-12,8.8200000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-11,8.8680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-10,8.9500000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-09,8.8710000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-08,9.1540000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-05,9.4890000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-04,9.4190000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-03,9.4490000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-02,9.9610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-07-01,9.8520000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-28,10.1830000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-27,10.2620000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-26,10.0470000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-25,10.0220000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-24,10.2670000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-21,10.3820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-20,10.6160000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-19,10.2020000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-18,10.2330000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-17,10.7560000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-14,10.5160000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-13,8.7500000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-12,7.8310000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-11,7.9740000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-10,7.8030000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-07,7.6050000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-06,7.7460000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-05,7.5880000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-04,8.3830000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-06-03,7.4970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-31,8.0930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-30,7.9480000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-29,8.1730000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-28,8.3770000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-27,8.4440000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-24,8.3630000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-23,8.1380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-22,8.2550000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-21,8.1730000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-20,8.5210000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-17,9.0890000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-16,8.6300000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-15,9.6420000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-14,9.4820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-13,9.9220000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-10,9.7780000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-09,8.4310000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-08,9.0910000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-07,8.9760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-06,10.0030000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-03,10.0680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-02,9.5690000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-05-01,9.6580000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-30,10.4840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-29,10.1060000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-26,9.4930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-25,9.8830000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-24,9.8640000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-23,9.3970000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-22,10.5630000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-19,10.6950000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-18,10.6210000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-17,9.7360000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-16,10.2270000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-15,8.2810000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-12,8.5320000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-11,9.8350000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-10,9.1830000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-09,8.8760000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-08,10.0080000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-05,10.0580000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-04,10.4470000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-03,10.3840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-02,10.3380000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-04-01,10.4240000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-29,10.4920000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-28,10.4840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-27,10.5650000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-26,10.5440000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-25,10.4890000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-22,10.3870000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-21,10.6100000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-20,10.8680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-19,9.8820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-18,10.3400000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-15,9.9770000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-14,10.8140000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-13,11.3900000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-12,11.4660000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-11,10.3200000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-08,10.5490000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-07,11.6190000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-06,11.6330000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-05,11.5590000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-04,11.9630000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-03-01,11.6880000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-29,11.6350000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-28,11.7870000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-27,11.6610000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-26,11.8040000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-23,11.5130000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-22,12.1790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-21,11.9850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-20,12.3840000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-19,12.7060000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-16,12.3820000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-15,13.9120000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-14,13.5600000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-13,12.9330000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-12,13.6450000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-09,13.4850000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-08,13.6690000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-07,13.0790000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-06,13.5560000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-05,13.9570000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-02,12.5530000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-02-01,13.4680000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-31,13.3230000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-30,12.7050000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-29,13.0170000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-26,12.9900000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-25,13.3600000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-24,13.6160000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-23,13.7530000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-22,13.8220000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-19,14.4250000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-18,14.7930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-17,14.8020000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-16,14.8210000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-15,15.1260000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-12,15.7200000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-11,15.0780000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-10,14.9890000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-09,15.7080000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-08,15.8700000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-05,15.7830000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-04,16.2410000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-03,16.2620000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-02,15.9930000,Normal value (A),Not for publication, restricted for internal use only (N)
2024-01-01,16.5700000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-29,16.6330000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-28,16.7510000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-27,16.7970000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-26,16.7620000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-25,17.0320000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-22,16.9800000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-21,17.0180000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-20,16.9430000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-19,16.7200000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-18,16.2680000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-15,16.6670000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-14,16.2310000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-13,16.7340000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-12,17.4040000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-11,16.7730000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-08,17.7940000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-07,17.6860000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-06,17.8830000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-05,17.8470000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-04,17.8590000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-12-01,17.6150000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-30,17.6760000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-29,18.8430000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-28,18.9840000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-27,18.4790000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-24,18.6780000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-23,18.2630000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-22,18.4040000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-21,18.9530000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-20,18.5290000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-17,18.1180000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-16,18.4430000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-15,18.4860000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-14,19.5750000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-13,19.4590000,Normal value (A),Not for publication, restricted for internal use only (N)
